net,length_um
dmem_dout\[15\],1.07409mm
dmem_dout\[18\],1.04972mm
net414,1.03508mm
dmem_dout\[16\],1.03505mm
dmem_dout\[19\],1.03431mm
net411,1.03372mm
net474,1.01584mm
net373,1.00423mm
dmem_dout\[13\],1.00403mm
net386,1.0015mm
dmem_dout\[10\],995.98µm
dmem_dout\[11\],985.31µm
net423,980.53µm
net429,974.02µm
dmem_dout\[12\],972.37µm
net392,961.75µm
net420,957.4µm
net399,938.54µm
net417,937µm
net1092,933.6µm
net426,933.08µm
net401,932.69µm
dmem_dout\[9\],928.69µm
dmem_dout\[14\],928.37µm
dmem_dout\[8\],928.14µm
net397,927.43µm
net405,917.33µm
net1037,910.18µm
net1074,907.41µm
net375,906.37µm
net403,904.63µm
net1083,897.4µm
dmem_dout\[6\],896.76µm
net390,887.61µm
net1080,879.84µm
clknet_4_9__leaf_clk,879.07µm
net388,872.65µm
dmem_dout\[22\],868.75µm
net1071,857.72µm
net384,851.57µm
clknet_4_0__leaf_clk,835.13µm
net408,830µm
clk,812.71µm
net382,804.97µm
net1068,802.28µm
net395,799.03µm
clknet_0_clk,796.75µm
net1065,795.35µm
net380,787.27µm
net1059,776.64µm
net1062,764.84µm
net1056,756.1µm
net1048,748.42µm
net1051,741.22µm
net378,690.12µm
_01964_,571.42µm
_03168_,567.38µm
_01963_,566.355µm
_02169_,551.645µm
clknet_4_6__leaf_clk,545.97µm
_03159_,531.12µm
clknet_4_12__leaf_clk,526µm
net251,525.14µm
clknet_4_8__leaf_clk,523.4µm
_03157_,514.895µm
net62,498.54µm
_02198_,498.435µm
clknet_4_7__leaf_clk,494.71µm
net63,488.13µm
net64,481.19µm
_02699_,474.79µm
_02445_,474.21µm
net131,458.79µm
clknet_2_3_0_clk,457.38µm
net509,456.38µm
net356,454.34µm
_02693_,454.12µm
net458,451.08µm
_03160_,447.69µm
net126,441.4µm
net123,437.45µm
clknet_4_4__leaf_clk,435.64µm
net1043,435.56µm
net478,433.64µm
clknet_2_1_0_clk,430.66µm
_01880_,426.52µm
_02106_,423.03µm
_01961_,422.185µm
clknet_4_13__leaf_clk,421.46µm
clknet_4_1__leaf_clk,420.61µm
clknet_4_14__leaf_clk,420.12µm
net470,418.38µm
dmem_dout\[5\],415.41µm
_02199_,414.57µm
net466,413µm
net462,407.68µm
_02373_,407.6µm
net128,406.62µm
dmem_dout\[4\],404.75µm
dmem_dout\[3\],401.71µm
net213,401.3µm
clknet_2_2_0_clk,400.52µm
net432,400.32µm
net1041,400.16µm
dmem_dout\[2\],397.85µm
_02247_,396.865µm
_02080_,396.64µm
net1045,396.48µm
net1085,394.76µm
net130,393.13µm
net1053,392.38µm
net217,391.22µm
clknet_2_0_0_clk,387.7µm
dmem_dout\[1\],384.55µm
_02145_,384.1µm
dmem_dout\[0\],383.11µm
net235,381.56µm
net241,381.18µm
net244,381.18µm
net477,381.03µm
net209,379.8µm
net1108,377.48µm
clknet_4_5__leaf_clk,375.62µm
clknet_4_15__leaf_clk,373.78µm
net205,369.72µm
net238,369.46µm
_01881_,358.59µm
net469,358.36µm
net225,355.02µm
_01945_,350.69µm
net508,349.89µm
net461,348.47µm
net465,346.87µm
net247,346.76µm
cpu_core.ex_mem_reg_inst.jump_in,344.24µm
net221,343.36µm
_01944_,342.8µm
net229,338.74µm
net431,335.59µm
net237,332.73µm
_03989_,330.46µm
net234,328.05µm
net1338,326.22µm
net1340,325.6µm
net240,324.85µm
net1344,323.28µm
net1342,323.2µm
net1383,321.82µm
net1372,321.06µm
net108,320.89µm
net339,318.04µm
net457,316.69µm
net1386,315.44µm
_03167_,315.14µm
net121,312.96µm
net366,311.02µm
net109,309.745µm
net848,306.21µm
_01951_,306.05µm
net1259,303.05µm
net243,301.55µm
_03012_,300.25µm
net111,297.69µm
_02449_,297.065µm
_03165_,296.84µm
_01955_,296.04µm
clknet_4_10__leaf_clk,294.34µm
net1354,294.12µm
_02569_,292.85µm
net822,292.35µm
net803,291.38µm
net1187,289.65µm
net1244,289.27µm
net486,287.895µm
net532,287.56µm
net768,286.42µm
net708,285.97µm
net1286,285.78µm
net1231,284.88µm
net1280,284.56µm
net878,284.36µm
net1306,283.94µm
clknet_4_2__leaf_clk,283.94µm
net853,283.89µm
net1236,283.85µm
net1213,283.44µm
net208,283.43µm
net547,283.32µm
net1355,283.08µm
_01960_,283.07µm
net801,282.77µm
net592,282.64µm
net204,282.63µm
net854,282.55µm
net1173,282.12µm
net798,282.02µm
_01952_,281.95µm
net1190,281.35µm
net891,281.04µm
net874,281.03µm
_02230_,280.74µm
net494,280.44µm
net762,280.08µm
net1250,279.83µm
net899,279.78µm
net624,279.54µm
net1349,279.43µm
net755,279.3µm
net1289,279.3µm
net1141,278.79µm
net1238,278.34µm
net750,278.33µm
net742,277.84µm
net713,277.62µm
net852,277.44µm
net1153,277.44µm
net566,277.38µm
net1240,277.17µm
net216,276.89µm
net1204,276.89µm
net1232,276.64µm
net1351,276.34µm
net910,276.265µm
net1115,276.17µm
net1191,276.15µm
net728,276.1µm
net804,276.1µm
net873,275.665µm
net657,275.615µm
net1138,275.35µm
net675,275.195µm
net264,275.12µm
net788,274.785µm
net555,274.65µm
net1175,274.57µm
net809,274.3µm
net1164,274.28µm
net1149,274.16µm
net883,273.88µm
net1350,273.84µm
net261,273.78µm
