net,length_um
_00120_,44.84µm
_04806_,44.8µm
_02612_,44.74µm
_03234_,44.48µm
cpu_core.ex_stage_inst.rs2_data_ex\[2\],44.38µm
_04899_,44.36µm
clknet_leaf_154_clk,44.34µm
_01848_,44.3µm
_03346_,44.3µm
cpu_core.ex_stage_inst.rs2_data_ex\[30\],44.26µm
_04420_,44.22µm
_04604_,44.22µm
_03400_,44.12µm
cpu_core.forward_inst.id_ex_rs2\[2\],44.07µm
clknet_leaf_49_clk,44.04µm
_03922_,43.86µm
clknet_leaf_175_clk,43.84µm
_03529_,43.785µm
_02958_,43.7µm
_04700_,43.66µm
_02913_,43.6µm
_02806_,43.54µm
_04255_,43.52µm
_02920_,43.5µm
_04699_,43.5µm
cpu_core.forward_inst.id_ex_rs1\[4\],43.5µm
cpu_core.ex_mem_reg_inst.pc_plus4_in\[16\],43.1µm
cpu_core.mem_wb_reg_inst.read_data_out\[26\],43.08µm
net1315,43.08µm
_02663_,43µm
_02489_,42.98µm
_04441_,42.96µm
_02670_,42.92µm
_04029_,42.88µm
clknet_leaf_204_clk,42.84µm
_02962_,42.82µm
cpu_core.ex_mem_reg_inst.rd_addr_in\[1\],42.8µm
cpu_core.forward_inst.id_ex_rs2\[3\],42.79µm
cpu_core.ex_stage_inst.pc_ex\[8\],42.78µm
net604,42.78µm
_02821_,42.64µm
_03318_,42.62µm
net1371,42.62µm
_04543_,42.54µm
_03739_,42.52µm
_04830_,42.5µm
cpu_core.ex_stage_inst.rs2_data_ex\[16\],42.46µm
_04705_,42.34µm
net1340,42.3µm
_04021_,42.2µm
_03232_,42µm
_04240_,42µm
_03785_,41.96µm
_02581_,41.94µm
_02100_,41.9µm
_02931_,41.86µm
_03899_,41.84µm
_02698_,41.8µm
_02940_,41.7µm
_02404_,41.68µm
_00127_,41.66µm
_04017_,41.66µm
clknet_leaf_181_clk,41.62µm
cpu_core.ex_stage_inst.rs2_data_ex\[9\],41.54µm
_02994_,41.5µm
_04549_,41.49µm
_02287_,41.42µm
_02402_,41.3µm
_04419_,41.24µm
_00021_,41.16µm
_04585_,41.16µm
_02985_,41.01µm
_03241_,40.82µm
_03978_,40.8µm
_02966_,40.78µm
cpu_core.ex_stage_inst.rs1_data_ex\[20\],40.7µm
cpu_core.mem_wb_reg_inst.read_data_out\[2\],40.7µm
_03351_,40.68µm
_03461_,40.4µm
net19,40.37µm
_04557_,40.32µm
_02433_,40.3µm
_02877_,40.16µm
net2447,40.06µm
clknet_leaf_71_clk,40.03µm
_00017_,39.9µm
_02458_,39.78µm
_01981_,39.7µm
_04471_,39.6µm
_03947_,39.56µm
_02222_,39.48µm
_02608_,39.42µm
_02946_,39.36µm
_04759_,39.28µm
clknet_leaf_172_clk,39.2µm
_03335_,39.08µm
clknet_leaf_84_clk,39.08µm
_00081_,39.06µm
_03435_,38.94µm
cpu_core.ex_stage_inst.imm_ex\[14\],38.9µm
_02183_,38.8µm
_04692_,38.78µm
_01919_,38.76µm
cpu_core.forward_inst.id_ex_rs1\[3\],38.66µm
_02464_,38.64µm
_04068_,38.52µm
_03197_,38.48µm
_04858_,38.46µm
_02602_,38.44µm
cpu_core.ex_stage_inst.rs2_data_ex\[14\],38.44µm
_02151_,38.42µm
cpu_core.ex_stage_inst.rs1_data_ex\[14\],38.4µm
cpu_core.ex_mem_reg_inst.rd_addr_in\[3\],38.34µm
_02022_,38.33µm
_02937_,38.32µm
_03526_,38.28µm
_02955_,38.16µm
_03588_,38.14µm
_03817_,38.1µm
_03896_,38.06µm
_03427_,37.98µm
_01980_,37.94µm
_04215_,37.84µm
_02970_,37.8µm
_03019_,37.72µm
_03292_,37.7µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[17\],37.6µm
cpu_core.regfile_inst.regs\[21\]\[18\],37.58µm
_02669_,37.56µm
_02936_,37.48µm
cpu_core.regfile_inst.regs\[25\]\[18\],37.48µm
clknet_leaf_121_clk,37.48µm
_02857_,37.34µm
cpu_core.ex_stage_inst.pc_ex\[2\],37.28µm
cpu_core.regfile_inst.regs\[19\]\[24\],37.2µm
_01900_,37.16µm
cpu_core.regfile_inst.regs\[23\]\[14\],37.075µm
_03284_,37.06µm
cpu_core.ex_stage_inst.rs1_data_ex\[17\],37µm
_03279_,36.98µm
_03856_,36.92µm
_03022_,36.76µm
_02277_,36.73µm
_03196_,36.65µm
cpu_core.ex_mem_reg_inst.pc_plus4_in\[11\],36.64µm
_03415_,36.62µm
_03141_,36.56µm
_04303_,36.48µm
funct3_r\[1\],36.48µm
clknet_leaf_80_clk,36.42µm
_02325_,36.38µm
_04387_,36.38µm
_02456_,36.32µm
_04447_,36.32µm
_02317_,36.3µm
clknet_leaf_196_clk,36.26µm
_02571_,36.18µm
_02086_,36.16µm
net2250,36.1µm
_02452_,35.98µm
_03890_,35.94µm
_03891_,35.94µm
cpu_core.ex_stage_inst.imm_ex\[13\],35.92µm
_03265_,35.88µm
_02122_,35.84µm
_03645_,35.84µm
cpu_core.regfile_inst.regs\[6\]\[17\],35.71µm
_04679_,35.7µm
cpu_core.ex_stage_inst.rs2_data_ex\[4\],35.7µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[2\],35.7µm
_04569_,35.68µm
clknet_leaf_120_clk,35.68µm
_04562_,35.64µm
clknet_leaf_88_clk,35.64µm
_02565_,35.435µm
_02984_,35.42µm
_04378_,35.4µm
_04546_,35.38µm
_02959_,35.3µm
_04535_,35.24µm
_02838_,35.22µm
cpu_core.ex_stage_inst.rs1_data_ex\[15\],35.22µm
_04823_,35.18µm
_03874_,35.08µm
_02682_,35.055µm
cpu_core.ex_stage_inst.pc_ex\[3\],35.04µm
_02577_,34.98µm
clknet_leaf_186_clk,34.98µm
_03032_,34.88µm
cpu_core.regfile_inst.regs\[0\]\[17\],34.84µm
_02975_,34.82µm
_03773_,34.8µm
cpu_core.ex_stage_inst.rs2_data_ex\[29\],34.8µm
_03268_,34.76µm
_03464_,34.68µm
_02185_,34.66µm
_02214_,34.58µm
cpu_core.ex_mem_reg_inst.rd_addr_out\[1\],34.56µm
_03826_,34.54µm
_02450_,34.5µm
_02261_,34.42µm
_00029_,34.26µm
_04648_,34.22µm
_02724_,34.185µm
_03616_,34.18µm
_03973_,34.16µm
_04218_,34.12µm
_02626_,34.1µm
_04138_,34.1µm
_01846_,34.08µm
_03217_,34.04µm
_04288_,34.02µm
_04737_,33.96µm
_03272_,33.84µm
_00128_,33.8µm
_02965_,33.72µm
_04069_,33.72µm
_03245_,33.7µm
cpu_core.regfile_inst.regs\[28\]\[23\],33.68µm
_01937_,33.56µm
_04391_,33.54µm
cpu_core.regfile_inst.regs\[27\]\[6\],33.5µm
_04709_,33.49µm
_02668_,33.48µm
_03679_,33.46µm
cpu_core.regfile_inst.regs\[16\]\[14\],33.46µm
cpu_core.regfile_inst.regs\[1\]\[19\],33.44µm
_02917_,33.4µm
_03478_,33.36µm
_04112_,33.3µm
_03328_,33.26µm
_02227_,33.22µm
cpu_core.regfile_inst.regs\[31\]\[17\],33.16µm
_03258_,33.12µm
net1331,33.12µm
_02963_,33.06µm
_00164_,33µm
cpu_core.regfile_inst.regs\[20\]\[6\],32.96µm
_02600_,32.92µm
_04174_,32.92µm
_02437_,32.86µm
_03296_,32.86µm
_02574_,32.84µm
cpu_core.alu_result_mem\[2\],32.82µm
cpu_core.regfile_inst.regs\[11\]\[19\],32.76µm
_02294_,32.755µm
_02249_,32.7µm
_02754_,32.66µm
_03583_,32.66µm
cpu_core.regfile_inst.regs\[11\]\[26\],32.64µm
cpu_core.regfile_inst.regs\[22\]\[22\],32.635µm
_04173_,32.62µm
_02634_,32.56µm
_03029_,32.5µm
_03263_,32.5µm
cpu_core.regfile_inst.regs\[13\]\[24\],32.5µm
_01942_,32.48µm
_02727_,32.42µm
_03066_,32.4µm
_04338_,32.38µm
cpu_core.regfile_inst.regs\[21\]\[13\],32.38µm
_03153_,32.36µm
_03376_,32.34µm
_02226_,32.3µm
_04567_,32.26µm
cpu_core.regfile_inst.regs\[15\]\[10\],32.24µm
_02867_,32.2µm
_03942_,32.2µm
_03387_,32.16µm
_04893_,32.1µm
cpu_core.ex_stage_inst.pc_ex\[11\],32.09µm
_04045_,32.08µm
cpu_core.ex_stage_inst.rs1_data_ex\[22\],32.08µm
_03176_,31.9µm
_03667_,31.88µm
_02360_,31.86µm
_04537_,31.84µm
net1254,31.8µm
_02052_,31.795µm
_02554_,31.79µm
net1349,31.77µm
_02237_,31.68µm
_02120_,31.64µm
cpu_core.regfile_inst.regs\[1\]\[21\],31.62µm
_03104_,31.58µm
_04165_,31.58µm
_03072_,31.54µm
_03290_,31.52µm
_02967_,31.46µm
_03178_,31.42µm
_04099_,31.42µm
cpu_core.regfile_inst.regs\[14\]\[2\],31.41µm
_02273_,31.38µm
_04863_,31.38µm
cpu_core.regfile_inst.regs\[27\]\[9\],31.38µm
_03092_,31.34µm
_04019_,31.34µm
_03654_,31.3µm
_02939_,31.2µm
clknet_leaf_72_clk,31.2µm
_04864_,31.14µm
cpu_core.control_inst.opcode\[2\],31.14µm
_02588_,31.12µm
_02981_,31.12µm
cpu_core.regfile_inst.regs\[6\]\[19\],31.035µm
_02677_,31.02µm
cpu_core.regfile_inst.regs\[29\]\[17\],30.98µm
_02614_,30.96µm
cpu_core.regfile_inst.regs\[2\]\[21\],30.93µm
_03342_,30.9µm
cpu_core.regfile_inst.regs\[20\]\[9\],30.9µm
_02880_,30.74µm
_03855_,30.74µm
cpu_core.regfile_inst.regs\[3\]\[11\],30.7µm
_04577_,30.635µm
_02969_,30.58µm
_02569_,30.52µm
_04133_,30.52µm
cpu_core.regfile_inst.regs\[18\]\[24\],30.505µm
_00023_,30.44µm
net1246,30.44µm
cpu_core.regfile_inst.regs\[26\]\[5\],30.44µm
net1322,30.4µm
cpu_core.ex_stage_inst.pc_ex\[17\],30.28µm
cpu_core.ex_stage_inst.rs1_data_ex\[6\],30.28µm
cpu_core.regfile_inst.regs\[16\]\[4\],30.26µm
_03562_,30.24µm
_04855_,30.24µm
cpu_core.regfile_inst.regs\[1\]\[23\],30.24µm
_02769_,30.22µm
_03210_,30.22µm
_04857_,30.22µm
_03916_,30.2µm
_00146_,30.16µm
_02431_,30.16µm
_02983_,30.14µm
_02048_,30.12µm
_04575_,30.1µm
cpu_core.forward_inst.id_ex_rs1\[1\],30.1µm
_01940_,30.08µm
_02365_,30.02µm
_03007_,30µm
_03097_,29.98µm
cpu_core.regfile_inst.regs\[27\]\[22\],29.98µm
cpu_core.regfile_inst.regs\[30\]\[3\],29.955µm
cpu_core.regfile_inst.regs\[30\]\[6\],29.875µm
_03586_,29.86µm
_03061_,29.84µm
cpu_core.regfile_inst.regs\[21\]\[6\],29.84µm
cpu_core.alu_result_mem\[14\],29.82µm
_02247_,29.78µm
cpu_core.regfile_inst.regs\[4\]\[14\],29.78µm
cpu_core.regfile_inst.regs\[20\]\[28\],29.77µm
cpu_core.regfile_inst.regs\[20\]\[7\],29.76µm
_03056_,29.74µm
_03208_,29.74µm
_01841_,29.72µm
cpu_core.regfile_inst.regs\[2\]\[17\],29.71µm
_04291_,29.7µm
_04508_,29.7µm
_02515_,29.675µm
cpu_core.regfile_inst.regs\[4\]\[12\],29.59µm
cpu_core.regfile_inst.regs\[26\]\[8\],29.525µm
_00024_,29.52µm
cpu_core.regfile_inst.regs\[20\]\[26\],29.5µm
_00172_,29.48µm
_04120_,29.48µm
net1355,29.48µm
_03607_,29.4µm
cpu_core.regfile_inst.regs\[11\]\[14\],29.4µm
_02350_,29.38µm
_03523_,29.38µm
_04071_,29.32µm
cpu_core.regfile_inst.regs\[3\]\[9\],29.25µm
_02517_,29.24µm
_03259_,29.24µm
_04862_,29.24µm
cpu_core.regfile_inst.regs\[29\]\[12\],29.24µm
cpu_core.regfile_inst.regs\[29\]\[18\],29.24µm
cpu_core.regfile_inst.regs\[15\]\[29\],29.22µm
_03310_,29.2µm
_04028_,29.18µm
_04611_,29.18µm
_04783_,29.18µm
_04884_,29.18µm
cpu_core.regfile_inst.regs\[25\]\[16\],29.18µm
cpu_core.regfile_inst.regs\[9\]\[31\],29.14µm
cpu_core.regfile_inst.regs\[26\]\[18\],29.135µm
_02128_,29.075µm
cpu_core.ex_stage_inst.alu_control_inst.funct7_5,29.04µm
clknet_leaf_225_clk,29.02µm
cpu_core.regfile_inst.regs\[28\]\[2\],29µm
_03304_,28.94µm
_02443_,28.9µm
_04024_,28.9µm
_03655_,28.88µm
cpu_core.regfile_inst.regs\[5\]\[27\],28.88µm
_03883_,28.86µm
_03768_,28.84µm
_04046_,28.8µm
cpu_core.regfile_inst.regs\[15\]\[2\],28.78µm
_00016_,28.745µm
cpu_core.regfile_inst.regs\[7\]\[29\],28.69µm
_02718_,28.68µm
cpu_core.ex_stage_inst.rs2_data_ex\[25\],28.6µm
net1257,28.6µm
_02628_,28.58µm
_03803_,28.52µm
cpu_core.regfile_inst.regs\[31\]\[8\],28.5µm
_04851_,28.485µm
_02758_,28.44µm
_03396_,28.42µm
cpu_core.regfile_inst.regs\[20\]\[10\],28.42µm
_03982_,28.4µm
net2392,28.4µm
cpu_core.regfile_inst.regs\[13\]\[14\],28.36µm
_01891_,28.32µm
cpu_core.regfile_inst.regs\[17\]\[4\],28.32µm
cpu_core.regfile_inst.regs\[24\]\[29\],28.32µm
_01832_,28.28µm
_01930_,28.28µm
_02236_,28.28µm
cpu_core.regfile_inst.regs\[29\]\[23\],28.28µm
cpu_core.regfile_inst.regs\[4\]\[27\],28.28µm
cpu_core.regfile_inst.regs\[2\]\[0\],28.265µm
_03309_,28.24µm
cpu_core.regfile_inst.regs\[12\]\[24\],28.2µm
cpu_core.regfile_inst.regs\[21\]\[17\],28.2µm
_02988_,28.18µm
_04772_,28.14µm
_02918_,28.12µm
_04519_,28.08µm
cpu_core.regfile_inst.regs\[6\]\[0\],28.055µm
_02800_,28µm
cpu_core.regfile_inst.regs\[24\]\[17\],27.98µm
cpu_core.regfile_inst.regs\[27\]\[19\],27.98µm
cpu_core.regfile_inst.regs\[9\]\[13\],27.98µm
_04695_,27.94µm
_03321_,27.93µm
_02469_,27.92µm
_03199_,27.92µm
_03289_,27.92µm
_02972_,27.88µm
_03557_,27.88µm
cpu_core.regfile_inst.regs\[6\]\[5\],27.835µm
_03573_,27.82µm
_00032_,27.78µm
_04853_,27.78µm
cpu_core.regfile_inst.regs\[15\]\[25\],27.76µm
_03437_,27.7µm
_02104_,27.665µm
_02551_,27.66µm
cpu_core.ex_stage_inst.rs2_data_ex\[7\],27.64µm
cpu_core.regfile_inst.regs\[2\]\[26\],27.59µm
_02209_,27.58µm
cpu_core.regfile_inst.regs\[25\]\[22\],27.53µm
_04015_,27.52µm
clknet_leaf_131_clk,27.52µm
cpu_core.regfile_inst.regs\[12\]\[9\],27.5µm
_02212_,27.46µm
_03711_,27.44µm
_04110_,27.44µm
_02216_,27.4µm
cpu_core.regfile_inst.regs\[25\]\[4\],27.4µm
_02038_,27.38µm
_03727_,27.34µm
cpu_core.regfile_inst.regs\[2\]\[31\],27.31µm
_03338_,27.3µm
_02224_,27.28µm
cpu_core.regfile_inst.regs\[14\]\[22\],27.28µm
cpu_core.regfile_inst.regs\[9\]\[1\],27.28µm
_03842_,27.26µm
_02911_,27.18µm
cpu_core.forward_inst.id_ex_rs2\[4\],27.18µm
_02761_,27.17µm
cpu_core.regfile_inst.regs\[13\]\[30\],27.16µm
cpu_core.regfile_inst.regs\[24\]\[10\],27.16µm
cpu_core.regfile_inst.regs\[8\]\[18\],27.16µm
_02956_,27.13µm
cpu_core.regfile_inst.regs\[1\]\[2\],27.1µm
cpu_core.regfile_inst.regs\[9\]\[10\],27.06µm
_04287_,27.02µm
cpu_core.ex_stage_inst.rs1_data_ex\[19\],27.02µm
cpu_core.regfile_inst.regs\[25\]\[8\],27.02µm
cpu_core.regfile_inst.regs\[31\]\[6\],27.02µm
_02460_,27µm
cpu_core.mem_wb_reg_inst.read_data_out\[7\],26.96µm
cpu_core.mem_wb_reg_inst.read_data_out\[25\],26.94µm
cpu_core.regfile_inst.regs\[29\]\[31\],26.94µm
clknet_leaf_22_clk,26.9µm
cpu_core.regfile_inst.regs\[22\]\[23\],26.875µm
_02824_,26.84µm
cpu_core.regfile_inst.regs\[28\]\[11\],26.84µm
_02430_,26.82µm
_02292_,26.78µm
_04861_,26.78µm
_02211_,26.76µm
_02812_,26.76µm
_04481_,26.76µm
_04520_,26.76µm
cpu_core.regfile_inst.regs\[10\]\[12\],26.75µm
cpu_core.regfile_inst.regs\[26\]\[6\],26.71µm
cpu_core.regfile_inst.regs\[6\]\[2\],26.69µm
_03386_,26.68µm
cpu_core.ex_mem_reg_inst.pc_plus4_out\[17\],26.68µm
cpu_core.regfile_inst.regs\[24\]\[5\],26.68µm
cpu_core.regfile_inst.regs\[12\]\[0\],26.62µm
cpu_core.regfile_inst.regs\[20\]\[2\],26.62µm
_03291_,26.6µm
net1374,26.58µm
_02979_,26.54µm
dmem_dout\[0\],26.53µm
_03365_,26.5µm
cpu_core.regfile_inst.regs\[17\]\[11\],26.5µm
_04476_,26.46µm
_02989_,26.44µm
_04265_,26.44µm
cpu_core.regfile_inst.regs\[29\]\[24\],26.44µm
cpu_core.regfile_inst.regs\[29\]\[6\],26.44µm
clknet_leaf_102_clk,26.44µm
_04091_,26.42µm
_04580_,26.42µm
_01938_,26.4µm
cpu_core.regfile_inst.regs\[8\]\[31\],26.4µm
cpu_core.regfile_inst.regs\[5\]\[17\],26.38µm
_02165_,26.36µm
_03804_,26.36µm
cpu_core.regfile_inst.regs\[8\]\[25\],26.36µm
cpu_core.regfile_inst.regs\[17\]\[6\],26.34µm
_02280_,26.32µm
cpu_core.regfile_inst.regs\[27\]\[11\],26.32µm
_03362_,26.3µm
_04330_,26.3µm
_04581_,26.3µm
cpu_core.forward_inst.id_ex_rs1\[0\],26.28µm
_03051_,26.22µm
cpu_core.ex_mem_reg_inst.pc_plus4_out\[19\],26.22µm
_03636_,26.18µm
_04128_,26.18µm
_02710_,26.16µm
cpu_core.regfile_inst.regs\[28\]\[31\],26.16µm
cpu_core.regfile_inst.regs\[6\]\[23\],26.155µm
cpu_core.regfile_inst.regs\[28\]\[4\],26.14µm
net1259,26.14µm
cpu_core.regfile_inst.regs\[17\]\[18\],26.1µm
cpu_core.regfile_inst.regs\[17\]\[20\],26.1µm
_03870_,26.08µm
clknet_leaf_63_clk,26.06µm
_03014_,26.02µm
cpu_core.regfile_inst.regs\[19\]\[27\],26.02µm
_02463_,25.98µm
_04735_,25.98µm
_04869_,25.98µm
cpu_core.ex_stage_inst.pc_ex\[4\],25.98µm
cpu_core.regfile_inst.regs\[1\]\[5\],25.98µm
cpu_core.regfile_inst.regs\[4\]\[11\],25.96µm
cpu_core.regfile_inst.regs\[22\]\[6\],25.91µm
cpu_core.regfile_inst.regs\[24\]\[12\],25.9µm
cpu_core.regfile_inst.regs\[29\]\[25\],25.9µm
cpu_core.regfile_inst.regs\[18\]\[2\],25.875µm
_03520_,25.86µm
cpu_core.regfile_inst.regs\[3\]\[22\],25.84µm
_02421_,25.82µm
cpu_core.regfile_inst.regs\[10\]\[16\],25.79µm
cpu_core.regfile_inst.regs\[2\]\[16\],25.765µm
_02814_,25.76µm
cpu_core.regfile_inst.regs\[9\]\[22\],25.76µm
cpu_core.regfile_inst.regs\[5\]\[1\],25.72µm
cpu_core.regfile_inst.regs\[22\]\[9\],25.71µm
cpu_core.ex_stage_inst.rs2_data_ex\[5\],25.68µm
cpu_core.ex_stage_inst.rs2_data_ex\[6\],25.68µm
cpu_core.regfile_inst.regs\[10\]\[8\],25.665µm
cpu_core.regfile_inst.regs\[26\]\[11\],25.665µm
cpu_core.regfile_inst.regs\[29\]\[9\],25.64µm
_04860_,25.62µm
cpu_core.regfile_inst.regs\[29\]\[27\],25.6µm
_02306_,25.585µm
_03380_,25.58µm
_03900_,25.56µm
_04655_,25.53µm
_03398_,25.52µm
cpu_core.regfile_inst.regs\[23\]\[18\],25.52µm
cpu_core.regfile_inst.regs\[20\]\[23\],25.46µm
cpu_core.regfile_inst.regs\[4\]\[4\],25.46µm
_04638_,25.41µm
cpu_core.regfile_inst.regs\[17\]\[15\],25.4µm
cpu_core.regfile_inst.regs\[12\]\[11\],25.38µm
cpu_core.regfile_inst.regs\[10\]\[25\],25.365µm
cpu_core.regfile_inst.regs\[11\]\[8\],25.36µm
cpu_core.regfile_inst.regs\[14\]\[23\],25.355µm
cpu_core.regfile_inst.regs\[11\]\[7\],25.34µm
_04191_,25.3µm
cpu_core.regfile_inst.regs\[16\]\[16\],25.3µm
cpu_core.regfile_inst.regs\[19\]\[30\],25.3µm
cpu_core.regfile_inst.regs\[26\]\[31\],25.285µm
_02775_,25.24µm
_03751_,25.24µm
_03579_,25.22µm
_03943_,25.22µm
net1895,25.2µm
_02632_,25.18µm
_02714_,25.18µm
cpu_core.regfile_inst.regs\[1\]\[0\],25.18µm
_03252_,25.16µm
_03510_,25.14µm
cpu_core.regfile_inst.regs\[20\]\[30\],25.14µm
cpu_core.regfile_inst.regs\[4\]\[16\],25.14µm
cpu_core.regfile_inst.regs\[2\]\[30\],25.125µm
cpu_core.regfile_inst.regs\[17\]\[22\],25.1µm
cpu_core.regfile_inst.regs\[14\]\[7\],25.095µm
_04710_,25.08µm
cpu_core.regfile_inst.regs\[13\]\[5\],25.08µm
cpu_core.regfile_inst.regs\[20\]\[5\],25.08µm
cpu_core.regfile_inst.regs\[4\]\[23\],25.06µm
_04377_,25.04µm
cpu_core.regfile_inst.regs\[10\]\[23\],25.03µm
cpu_core.regfile_inst.regs\[31\]\[25\],24.99µm
_02259_,24.98µm
_02636_,24.98µm
cpu_core.regfile_inst.regs\[7\]\[14\],24.94µm
cpu_core.regfile_inst.regs\[8\]\[13\],24.94µm
cpu_core.regfile_inst.regs\[24\]\[18\],24.92µm
_03276_,24.88µm
_04119_,24.88µm
cpu_core.regfile_inst.regs\[4\]\[2\],24.86µm
_02610_,24.84µm
_02711_,24.82µm
cpu_core.regfile_inst.regs\[28\]\[19\],24.81µm
_02919_,24.8µm
_03688_,24.8µm
cpu_core.regfile_inst.regs\[13\]\[17\],24.78µm
_00015_,24.76µm
_03576_,24.76µm
_04854_,24.76µm
cpu_core.regfile_inst.regs\[1\]\[27\],24.76µm
cpu_core.regfile_inst.regs\[27\]\[27\],24.76µm
cpu_core.regfile_inst.regs\[17\]\[16\],24.74µm
_00039_,24.72µm
_00106_,24.72µm
_02720_,24.72µm
cpu_core.regfile_inst.regs\[31\]\[11\],24.72µm
_02653_,24.71µm
_02479_,24.7µm
_03680_,24.7µm
cpu_core.regfile_inst.regs\[11\]\[29\],24.7µm
cpu_core.regfile_inst.regs\[20\]\[8\],24.68µm
_02432_,24.66µm
cpu_core.regfile_inst.regs\[1\]\[24\],24.66µm
cpu_core.regfile_inst.regs\[19\]\[1\],24.64µm
cpu_core.regfile_inst.regs\[12\]\[21\],24.6µm
cpu_core.regfile_inst.regs\[19\]\[19\],24.6µm
cpu_core.regfile_inst.regs\[22\]\[29\],24.575µm
cpu_core.regfile_inst.regs\[26\]\[25\],24.555µm
cpu_core.regfile_inst.regs\[2\]\[4\],24.55µm
cpu_core.regfile_inst.regs\[14\]\[4\],24.535µm
_02332_,24.52µm
cpu_core.regfile_inst.regs\[11\]\[5\],24.52µm
_02864_,24.48µm
_04310_,24.44µm
_02334_,24.42µm
_04496_,24.3µm
cpu_core.regfile_inst.regs\[31\]\[26\],24.3µm
cpu_core.regfile_inst.regs\[5\]\[9\],24.3µm
cpu_core.regfile_inst.regs\[4\]\[13\],24.26µm
cpu_core.regfile_inst.regs\[7\]\[1\],24.26µm
cpu_core.regfile_inst.regs\[8\]\[19\],24.26µm
_03628_,24.24µm
_02973_,24.22µm
cpu_core.regfile_inst.regs\[3\]\[12\],24.22µm
cpu_core.regfile_inst.regs\[12\]\[31\],24.2µm
cpu_core.regfile_inst.regs\[11\]\[15\],24.18µm
cpu_core.regfile_inst.regs\[4\]\[18\],24.18µm
_01889_,24.14µm
_02887_,24.12µm
cpu_core.regfile_inst.regs\[24\]\[8\],24.12µm
dmem_dout\[2\],24.09µm
cpu_core.regfile_inst.regs\[1\]\[9\],24.06µm
cpu_core.regfile_inst.regs\[20\]\[20\],24.06µm
cpu_core.regfile_inst.regs\[30\]\[10\],24.045µm
cpu_core.regfile_inst.regs\[19\]\[9\],24.04µm
cpu_core.regfile_inst.regs\[10\]\[17\],24.03µm
cpu_core.regfile_inst.regs\[5\]\[18\],24µm
cpu_core.regfile_inst.regs\[14\]\[9\],23.97µm
_04090_,23.96µm
cpu_core.regfile_inst.regs\[28\]\[7\],23.96µm
cpu_core.regfile_inst.regs\[4\]\[17\],23.94µm
cpu_core.regfile_inst.regs\[22\]\[19\],23.93µm
cpu_core.regfile_inst.regs\[2\]\[15\],23.93µm
cpu_core.regfile_inst.regs\[2\]\[22\],23.925µm
_03315_,23.92µm
_04656_,23.92µm
cpu_core.regfile_inst.regs\[16\]\[6\],23.92µm
_02550_,23.9µm
cpu_core.regfile_inst.regs\[29\]\[14\],23.9µm
cpu_core.regfile_inst.regs\[2\]\[1\],23.89µm
cpu_core.regfile_inst.regs\[28\]\[29\],23.88µm
cpu_core.regfile_inst.regs\[3\]\[15\],23.88µm
cpu_core.regfile_inst.regs\[4\]\[24\],23.88µm
cpu_core.regfile_inst.regs\[17\]\[28\],23.86µm
cpu_core.regfile_inst.regs\[19\]\[6\],23.84µm
_02364_,23.8µm
cpu_core.regfile_inst.regs\[0\]\[27\],23.8µm
cpu_core.regfile_inst.regs\[14\]\[18\],23.79µm
_03838_,23.78µm
cpu_core.regfile_inst.regs\[23\]\[30\],23.78µm
cpu_core.regfile_inst.regs\[27\]\[20\],23.78µm
_03414_,23.76µm
cpu_core.regfile_inst.regs\[4\]\[6\],23.76µm
cpu_core.regfile_inst.regs\[16\]\[26\],23.74µm
_04272_,23.73µm
cpu_core.regfile_inst.regs\[12\]\[26\],23.72µm
cpu_core.regfile_inst.regs\[16\]\[9\],23.72µm
cpu_core.regfile_inst.regs\[1\]\[26\],23.72µm
cpu_core.regfile_inst.regs\[25\]\[12\],23.72µm
net2453,23.72µm
_03250_,23.7µm
_03756_,23.7µm
cpu_core.regfile_inst.regs\[14\]\[3\],23.7µm
cpu_core.regfile_inst.regs\[22\]\[26\],23.69µm
dmem_dout\[1\],23.69µm
_03861_,23.68µm
cpu_core.regfile_inst.regs\[17\]\[13\],23.66µm
_02275_,23.64µm
cpu_core.regfile_inst.regs\[30\]\[22\],23.635µm
_04386_,23.62µm
cpu_core.regfile_inst.regs\[1\]\[30\],23.62µm
cpu_core.regfile_inst.regs\[29\]\[2\],23.6µm
cpu_core.regfile_inst.regs\[27\]\[3\],23.56µm
cpu_core.regfile_inst.regs\[28\]\[10\],23.56µm
_02726_,23.54µm
cpu_core.ex_stage_inst.rs2_data_ex\[19\],23.54µm
cpu_core.regfile_inst.regs\[0\]\[26\],23.54µm
cpu_core.regfile_inst.regs\[12\]\[17\],23.54µm
cpu_core.regfile_inst.regs\[6\]\[14\],23.525µm
_04605_,23.5µm
cpu_core.regfile_inst.regs\[23\]\[21\],23.48µm
cpu_core.regfile_inst.regs\[31\]\[14\],23.48µm
cpu_core.regfile_inst.regs\[8\]\[29\],23.48µm
cpu_core.regfile_inst.regs\[26\]\[1\],23.465µm
_03706_,23.46µm
cpu_core.regfile_inst.regs\[2\]\[11\],23.39µm
_02053_,23.38µm
cpu_core.regfile_inst.regs\[11\]\[31\],23.38µm
cpu_core.regfile_inst.regs\[23\]\[7\],23.38µm
cpu_core.regfile_inst.regs\[14\]\[28\],23.355µm
_03720_,23.34µm
