Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_1803,VGND,li1,836.7400,788.8000,0.000000
FILLER_285_1799,VGND,li1,833.2900,788.8000,0.000000
FILLER_285_1793,VGND,li1,831.6800,788.8000,0.000000
FILLER_285_1789,VGND,li1,829.1500,788.8000,0.000000
FILLER_285_1782,VGND,li1,826.1600,788.8000,0.000000
FILLER_285_1775,VGND,li1,822.9400,788.8000,0.000000
FILLER_285_1771,VGND,li1,820.4100,788.8000,0.000000
FILLER_285_1765,VGND,li1,818.8000,788.8000,0.000000
FILLER_285_1761,VGND,li1,816.2700,788.8000,0.000000
FILLER_285_1757,VGND,li1,813.9700,788.8000,0.000000
FILLER_285_1753,VGND,li1,812.8200,788.8000,0.000000
FILLER_285_1748,VGND,li1,810.0600,788.8000,0.000000
FILLER_285_1737,VGND,li1,806.3800,788.8000,0.000000
FILLER_285_1733,VGND,li1,803.3900,788.8000,0.000000
FILLER_285_1727,VGND,li1,800.6300,788.8000,0.000000
FILLER_285_1719,VGND,li1,798.1000,788.8000,0.000000
FILLER_285_1715,VGND,li1,794.6500,788.8000,0.000000
FILLER_285_1709,VGND,li1,793.0400,788.8000,0.000000
FILLER_285_1707,VGND,li1,790.9700,788.8000,0.000000
FILLER_285_1702,VGND,li1,788.9000,788.8000,0.000000
FILLER_285_1691,VGND,li1,784.3000,788.8000,0.000000
FILLER_285_1687,VGND,li1,781.7700,788.8000,0.000000
FILLER_285_1681,VGND,li1,780.1600,788.8000,0.000000
FILLER_285_1677,VGND,li1,777.6300,788.8000,0.000001
FILLER_285_1671,VGND,li1,774.8700,788.8000,0.000001
FILLER_285_1663,VGND,li1,772.3400,788.8000,0.000001
FILLER_285_1657,VGND,li1,768.4300,788.8000,0.000001
FILLER_285_1653,VGND,li1,766.1300,788.8000,0.000001
FILLER_285_1649,VGND,li1,764.7500,788.8000,0.000001
FILLER_285_1643,VGND,li1,761.9900,788.8000,0.000001
FILLER_285_1635,VGND,li1,759.4600,788.8000,0.000001
FILLER_285_1631,VGND,li1,756.0100,788.8000,0.000001
FILLER_285_1625,VGND,li1,754.4000,788.8000,0.000001
FILLER_285_1621,VGND,li1,751.8700,788.8000,0.000001
FILLER_285_1616,VGND,li1,749.3400,788.8000,0.000001
FILLER_285_1607,VGND,li1,746.1200,788.8000,0.000001
FILLER_285_1603,VGND,li1,743.1300,788.8000,0.000001
FILLER_285_1597,VGND,li1,741.5200,788.8000,0.000001
FILLER_285_1593,VGND,li1,738.9900,788.8000,0.000001
FILLER_285_1582,VGND,li1,735.0800,788.8000,0.000001
FILLER_285_1577,VGND,li1,731.4000,788.8000,0.000001
FILLER_285_1573,VGND,li1,729.3300,788.8000,0.000002
FILLER_285_1569,VGND,li1,728.1800,788.8000,0.000002
FILLER_285_1565,VGND,li1,726.1100,788.8000,0.000002
FILLER_285_1559,VGND,li1,723.3500,788.8000,0.000002
FILLER_285_1551,VGND,li1,720.8200,788.8000,0.000002
FILLER_285_1547,VGND,li1,717.3700,788.8000,0.000002
FILLER_285_1541,VGND,li1,715.7600,788.8000,0.000002
FILLER_285_1538,VGND,li1,713.4600,788.8000,0.000002
FILLER_285_1533,VGND,li1,711.1600,788.8000,0.000002
FILLER_285_1523,VGND,li1,707.4800,788.8000,0.000002
FILLER_285_1519,VGND,li1,704.4900,788.8000,0.000002
FILLER_285_1513,VGND,li1,702.8800,788.8000,0.000002
FILLER_285_1509,VGND,li1,700.3500,788.8000,0.000002
FILLER_285_1503,VGND,li1,697.5900,788.8000,0.000002
FILLER_285_1498,VGND,li1,695.0600,788.8000,0.000002
FILLER_285_1493,VGND,li1,692.7600,788.8000,0.000002
FILLER_285_1485,VGND,li1,690.4600,788.8000,0.000002
FILLER_285_1481,VGND,li1,687.4700,788.8000,0.000002
FILLER_285_1475,VGND,li1,684.7100,788.8000,0.000002
FILLER_285_1467,VGND,li1,682.1800,788.8000,0.000002
FILLER_285_1461,VGND,li1,678.2700,788.8000,0.000002
FILLER_285_1457,VGND,li1,675.9700,788.8000,0.000002
FILLER_285_1453,VGND,li1,674.5900,788.8000,0.000002
FILLER_285_1447,VGND,li1,671.8300,788.8000,0.000002
FILLER_285_1439,VGND,li1,669.3000,788.8000,0.000002
FILLER_285_1433,VGND,li1,665.3900,788.8000,0.000002
FILLER_285_1429,VGND,li1,663.0900,788.8000,0.000002
FILLER_285_1427,VGND,li1,662.1700,788.8000,0.000002
FILLER_285_1409,VGND,li1,654.1200,788.8000,0.000002
FILLER_285_1405,VGND,li1,652.0500,788.8000,0.000002
FILLER_285_1401,VGND,li1,650.9000,788.8000,0.000002
FILLER_285_1397,VGND,li1,648.8300,788.8000,0.000002
FILLER_285_1392,VGND,li1,646.3000,788.8000,0.000002
FILLER_285_1388,VGND,li1,644.4600,788.8000,0.000002
FILLER_285_1383,VGND,li1,642.1600,788.8000,0.000002
FILLER_285_1377,VGND,li1,639.6300,788.8000,0.000002
FILLER_285_1373,VGND,li1,637.3300,788.8000,0.000002
FILLER_285_1368,VGND,li1,635.7200,788.8000,0.000002
FILLER_285_1363,VGND,li1,632.9600,788.8000,0.000003
FILLER_285_1354,VGND,li1,628.8200,788.8000,0.000004
FILLER_285_1345,VGND,li1,625.6000,788.8000,0.000004
FILLER_285_1341,VGND,li1,623.0700,788.8000,0.000004
FILLER_285_1335,VGND,li1,620.3100,788.8000,0.000004
FILLER_285_1327,VGND,li1,617.7800,788.8000,0.000004
FILLER_285_1323,VGND,li1,614.3300,788.8000,0.000005
FILLER_285_1317,VGND,li1,612.7200,788.8000,0.000005
FILLER_285_1313,VGND,li1,610.1900,788.8000,0.000005
FILLER_285_1309,VGND,li1,607.8900,788.8000,0.000005
FILLER_285_1305,VGND,li1,606.7400,788.8000,0.000005
FILLER_285_1300,VGND,li1,603.9800,788.8000,0.000005
FILLER_285_1289,VGND,li1,600.3000,788.8000,0.000006
FILLER_285_1285,VGND,li1,597.3100,788.8000,0.000006
FILLER_285_1276,VGND,li1,593.8600,788.8000,0.000006
FILLER_285_1271,VGND,li1,590.6400,788.8000,0.000006
FILLER_285_1267,VGND,li1,588.5700,788.8000,0.000006
FILLER_285_1261,VGND,li1,586.9600,788.8000,0.000007
FILLER_285_1257,VGND,li1,584.4300,788.8000,0.000007
FILLER_285_1252,VGND,li1,581.9000,788.8000,0.000007
FILLER_285_1247,VGND,li1,579.8300,788.8000,0.000007
FILLER_285_1242,VGND,li1,577.3000,788.8000,0.000007
FILLER_285_1238,VGND,li1,575.4600,788.8000,0.000007
FILLER_285_1233,VGND,li1,573.1600,788.8000,0.000008
FILLER_285_1229,VGND,li1,571.5500,788.8000,0.000008
FILLER_285_1223,VGND,li1,568.7900,788.8000,0.000008
FILLER_285_1215,VGND,li1,566.2600,788.8000,0.000008
FILLER_285_1211,VGND,li1,562.8100,788.8000,0.000008
FILLER_285_1205,VGND,li1,561.2000,788.8000,0.000008
FILLER_285_1201,VGND,li1,558.6700,788.8000,0.000009
FILLER_285_1196,VGND,li1,556.1400,788.8000,0.000009
FILLER_285_1193,VGND,li1,554.5300,788.8000,0.000009
FILLER_285_1187,VGND,li1,552.9200,788.8000,0.000009
FILLER_285_1183,VGND,li1,549.9300,788.8000,0.000009
FILLER_285_1177,VGND,li1,548.3200,788.8000,0.000009
FILLER_285_1173,VGND,li1,545.7900,788.8000,0.000010
FILLER_285_1168,VGND,li1,543.2600,788.8000,0.000010
FILLER_285_1159,VGND,li1,540.0400,788.8000,0.000010
FILLER_285_1149,VGND,li1,534.2900,788.8000,0.000010
FILLER_285_1147,VGND,li1,533.3700,788.8000,0.000009
FILLER_285_1142,VGND,li1,531.3000,788.8000,0.000009
FILLER_285_1137,VGND,li1,529.0000,788.8000,0.000009
FILLER_285_1131,VGND,li1,526.4700,788.8000,0.000008
FILLER_285_1127,VGND,li1,524.1700,788.8000,0.000008
FILLER_285_1121,VGND,li1,522.5600,788.8000,0.000008
FILLER_285_1117,VGND,li1,520.0300,788.8000,0.000008
FILLER_285_1111,VGND,li1,517.2700,788.8000,0.000007
FILLER_285_1103,VGND,li1,514.7400,788.8000,0.000007
FILLER_285_1099,VGND,li1,511.2900,788.8000,0.000006
FILLER_285_1093,VGND,li1,509.6800,788.8000,0.000006
FILLER_285_1089,VGND,li1,507.1500,788.8000,0.000006
FILLER_285_1084,VGND,li1,504.6200,788.8000,0.000005
FILLER_285_1079,VGND,li1,502.0900,788.8000,0.000005
FILLER_285_1075,VGND,li1,500.9400,788.8000,0.000005
