Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_1821,VPWR,li1,844.1000,786.0800,1.799960
FILLER_285_1817,VPWR,li1,842.0300,786.0800,1.799959
FILLER_285_1811,VPWR,li1,839.2700,786.0800,1.799959
FILLER_285_1803,VPWR,li1,836.7400,786.0800,1.799959
FILLER_285_1799,VPWR,li1,833.2900,786.0800,1.799959
FILLER_285_1793,VPWR,li1,831.6800,786.0800,1.799959
FILLER_285_1789,VPWR,li1,829.1500,786.0800,1.799960
FILLER_285_1782,VPWR,li1,826.1600,786.0800,1.799960
FILLER_285_1775,VPWR,li1,822.9400,786.0800,1.799961
FILLER_285_1771,VPWR,li1,820.4100,786.0800,1.799962
FILLER_285_1765,VPWR,li1,818.8000,786.0800,1.799963
FILLER_285_1761,VPWR,li1,816.2700,786.0800,1.799964
FILLER_285_1757,VPWR,li1,813.9700,786.0800,1.799965
FILLER_285_1753,VPWR,li1,812.8200,786.0800,1.799967
FILLER_285_1748,VPWR,li1,810.0600,786.0800,1.799968
FILLER_285_1737,VPWR,li1,806.3800,786.0800,1.799970
FILLER_285_1733,VPWR,li1,803.3900,786.0800,1.799973
FILLER_285_1727,VPWR,li1,800.6300,786.0800,1.799974
FILLER_285_1719,VPWR,li1,798.1000,786.0800,1.799976
FILLER_285_1715,VPWR,li1,794.6500,786.0800,1.799980
FILLER_285_1709,VPWR,li1,793.0400,786.0800,1.799980
FILLER_285_1707,VPWR,li1,790.9700,786.0800,1.799982
FILLER_285_1702,VPWR,li1,788.9000,786.0800,1.799984
FILLER_285_1691,VPWR,li1,784.3000,786.0800,1.799979
FILLER_285_1687,VPWR,li1,781.7700,786.0800,1.799978
FILLER_285_1681,VPWR,li1,780.1600,786.0800,1.799976
FILLER_285_1677,VPWR,li1,777.6300,786.0800,1.799974
FILLER_285_1671,VPWR,li1,774.8700,786.0800,1.799972
FILLER_285_1663,VPWR,li1,772.3400,786.0800,1.799970
FILLER_285_1657,VPWR,li1,768.4300,786.0800,1.799965
FILLER_285_1653,VPWR,li1,766.1300,786.0800,1.799963
FILLER_285_1649,VPWR,li1,764.7500,786.0800,1.799963
FILLER_285_1643,VPWR,li1,761.9900,786.0800,1.799961
FILLER_285_1635,VPWR,li1,759.4600,786.0800,1.799959
FILLER_285_1631,VPWR,li1,756.0100,786.0800,1.799954
FILLER_285_1625,VPWR,li1,754.4000,786.0800,1.799954
FILLER_285_1621,VPWR,li1,751.8700,786.0800,1.799951
FILLER_285_1616,VPWR,li1,749.3400,786.0800,1.799949
FILLER_285_1607,VPWR,li1,746.1200,786.0800,1.799947
FILLER_285_1603,VPWR,li1,743.1300,786.0800,1.799945
FILLER_285_1597,VPWR,li1,741.5200,786.0800,1.799945
FILLER_285_1593,VPWR,li1,738.9900,786.0800,1.799943
FILLER_285_1582,VPWR,li1,735.0800,786.0800,1.799941
FILLER_285_1577,VPWR,li1,731.4000,786.0800,1.799938
FILLER_285_1573,VPWR,li1,729.3300,786.0800,1.799938
FILLER_285_1569,VPWR,li1,728.1800,786.0800,1.799938
FILLER_285_1565,VPWR,li1,726.1100,786.0800,1.799937
FILLER_285_1559,VPWR,li1,723.3500,786.0800,1.799937
FILLER_285_1551,VPWR,li1,720.8200,786.0800,1.799936
FILLER_285_1547,VPWR,li1,717.3700,786.0800,1.799935
FILLER_285_1541,VPWR,li1,715.7600,786.0800,1.799934
FILLER_285_1538,VPWR,li1,713.4600,786.0800,1.799934
FILLER_285_1533,VPWR,li1,711.1600,786.0800,1.799933
FILLER_285_1523,VPWR,li1,707.4800,786.0800,1.799932
FILLER_285_1519,VPWR,li1,704.4900,786.0800,1.799933
FILLER_285_1513,VPWR,li1,702.8800,786.0800,1.799933
FILLER_285_1509,VPWR,li1,700.3500,786.0800,1.799933
FILLER_285_1503,VPWR,li1,697.5900,786.0800,1.799933
FILLER_285_1498,VPWR,li1,695.0600,786.0800,1.799933
FILLER_285_1493,VPWR,li1,692.7600,786.0800,1.799933
FILLER_285_1485,VPWR,li1,690.4600,786.0800,1.799934
FILLER_285_1481,VPWR,li1,687.4700,786.0800,1.799935
FILLER_285_1475,VPWR,li1,684.7100,786.0800,1.799936
FILLER_285_1467,VPWR,li1,682.1800,786.0800,1.799937
FILLER_285_1461,VPWR,li1,678.2700,786.0800,1.799938
FILLER_285_1457,VPWR,li1,675.9700,786.0800,1.799939
FILLER_285_1453,VPWR,li1,674.5900,786.0800,1.799939
FILLER_285_1447,VPWR,li1,671.8300,786.0800,1.799940
FILLER_285_1439,VPWR,li1,669.3000,786.0800,1.799943
FILLER_285_1433,VPWR,li1,665.3900,786.0800,1.799944
FILLER_285_1429,VPWR,li1,663.0900,786.0800,1.799946
FILLER_285_1427,VPWR,li1,662.1700,786.0800,1.799947
FILLER_285_1409,VPWR,li1,654.1200,786.0800,1.799952
FILLER_285_1405,VPWR,li1,652.0500,786.0800,1.799954
FILLER_285_1401,VPWR,li1,650.9000,786.0800,1.799954
FILLER_285_1397,VPWR,li1,648.8300,786.0800,1.799956
FILLER_285_1392,VPWR,li1,646.3000,786.0800,1.799958
